Máquina de afeitar;Gillette;Triple (2 unids);Higiene;https://acdn.mitiendanube.com/stores/001/165/255/products/gillette-prestobarba-3-comfortgel-x2-maquinas-dc16df04d144540d1c17151824477588-1024-1024.jpg;;;;3200;4800;12;;;;;;;
Pasta Dental;Odol;Doble Protección;Higiene;https://http2.mlstatic.com/D_NQ_NP_664727-MLU71000746978_082023-O.webp;;;;3600;5400;12;;;;;;;
Shampoo;Sedal;Fuerza y brillo;Higiene;https://assets.unileversolutions.com/v1/88717149.png;;;;2400;3600;12;;;;;;;
Shampoo;Sedal;Hidratación y frizz control;Higiene;https://assets.unileversolutions.com/v1/92204219.png;;;;2400;3600;12;;;;;;;
Shampoo;Sedal;Regeneración y luminosidad;Higiene;https://assets.unileversolutions.com/v1/92203503.png;;;;2400;3600;12;;;;;;;
Shampoo;Sedal;Restauración y brillo;Higiene;https://assets.unileversolutions.com/v1/90142454.png;;;;2400;3600;12;;;;;;;
Shampoo;Sedal;Rizos definidos;Higiene;"https://assets.unileversolutions.com/v1/88720623.png?im=AspectCrop=(985,985);Resize=(985,985)";;;;2400;3600;12;;;;;;;
Jabón de Tocador;Rexona;;Higiene;https://cdn.batitienda.com/baticloud/images/product_picture_c0662ee45c01441ba2e602f817c3c6b8_638189398812017116_0_m.jpg;;;;800;1200;12;;;;;;;
Máquina de afeitar;Gillette;;Higiene;https://farmaciaslider.pe/my-assets/image/product/e7f4c860710f7df44fc069a77f12cb25.jpg;;;;1000;1500;12;;;;;;;
Toallas femeninas;Kotex;;Higiene;https://media03.farmaciaslider.com.ar/33798-thickbox_default/kotex-esencial-con-alas-toallas-higienicas-normal-x-8.jpg;;;;1300;1950;12;;;;;;;
Shampoo Sachet;Sedal;;Higiene;https://http2.mlstatic.com/D_NQ_NP_602605-MLA74792670662_032024-O.webp;;;;400;600;12;;;;;;;
Shampoo Sachet;Sedal;;Higiene;https://www.farmaciassanchezantoniolli.com.ar/455-medium_default/shampoo-sedal-restauracion-instantanea-10ml.jpg;;;;400;600;12;;;;;;;
Shampoo Sachet;Sedal;;Higiene;https://cdn.batitienda.com/baticloud/images/product_picture_e180d3f5e90249c69e151b6b8fb92173_638502698936840708_0_m.png;;;;400;600;12;;;;;;;
Protectores Diarios;Doncella;;Higiene;https://cdn.batitienda.com/baticloud/images/product_picture_a1bf9fedcee64fd1bc1800df1f66cd0a_638599170607307417_0_m.jpg;;;;1300;1950;12;;;;;;;
Protectores Diarios;Doncella;;Higiene;https://www.centraloeste.com.ar/media/catalog/product/cache/ddb703dc084a33c8cde56cf551816b8e/7/7/7790940233264_-_protector_x_20_anatomico_con_deo_x_20.png;;;;1300;1950;12;;;;;;;
Papel Higiénico;Grand Family;6 rollos de 60m;Higiene;https://lh3.googleusercontent.com/proxy/kXlHrVIhjTOadOOxu4pcL0DaFEddbr4HRXryHNe6RgwRfoJO7UB7dAfhdDrJ1P360UAlIl7ojx4jKrPhdM41qSNR-H0yUXirdClmo8VmlUfz3x5ac6pw2lh6MoLhg-32aF4_anD91A;;;;1650;2480;12;;;;;;;
Papel Higiénico;Grand Family;1 rollo de 60m;Higiene;https://acdn.mitiendanube.com/stores/001/172/405/products/papel-higienico-90-mts1-9ff9eac5eb0e8dee3515998443889686-480-0.jpg;;;;275;410;12;;;;;;;
Jabón de Tocador;Limol;3u x 90g;Higiene;https://cromochemical.com.ar/image/cache/catalog/Productos/Jab%C3%B3n%20en%20Pan/JATOLIM-1920x1080.webp;3 unidades;;;1300;1950;12;;;;;;;
Protectores Diarios;Calipso;Cola less 20u;Higiene;https://pedidosfarma.vtexassets.com/arquivos/ids/186327-800-auto?v=637696657985430000&width=800&height=auto&aspect=true;;;;800;1200;12;;;;;;;
Té;Taragüí;En saquitos;Infusiones;https://modomarketar.vteximg.com.br/arquivos/ids/161974/Te-Taragui-S-ensobrar-X-25-Saq-1-6608.jpg?v=637879777592570000;;;;1400;2100;12;;sep-24;;Vencido;25200;;
Té;La Virginia;En saquitos;Infusiones;https://www.lavirginia.com.ar/wp-content/uploads/2022/01/7790150211908_02-scaled.jpg;;;;1400;2100;12;;20/02/2025;;En regla;25200;;
Té;Rosamonte;En saquitos;Infusiones;https://cordoba.parodisrl.com.ar/47211/te-rosamonte-25-saq-s-sobre.jpg;;;;1000;1500;12;;10/08/2024;;Vencido;18000;;
Mate cocido;Amanda;En saquitos;Infusiones;https://acdn.mitiendanube.com/stores/043/230/products/mate-cocido-tradicional_3_c1-86cb7d01479528ff5a16109958803054-1024-1024.jpg;;;;1500;2250;12;;03/04/2025;;En regla;27000;;
Té verde;Crysf;En saquitos;Infusiones;https://trapal.com.ar/media/cache/sylius_shop_product_thumbnail/66/50/f77f6183381d01dd8f01718f3ff5.png;;;;700;1050;12;;;;;;;
Café ;La Virginia;Torrado Clásico;Infusiones;https://www.lavirginia.com.ar/wp-content/uploads/2021/11/clasico-molido-torrado-1000.jpg;;;;2900;4350;12;;;;;;;
Mate cocido ;Duaren;En saquitos;Infusiones;https://tienda.santamariasa.com.ar/comercio/images/a00059024.jpg;25 saquitos;;;500;750;12;;;;;;;
Jugo por pack;Tang;Naranja Mango;Jugos;https://carrefourar.vtexassets.com/arquivos/ids/435018/7622201735371_E01.jpg?v=638400547833970000;;;;3790;5690;12;;25/09/2024;;Vencido;68280;;
